,id,product_id,customer_id,product_name,product_price,status
0,1,575574,925201,Generic Pizza,14840274,pending
1,2,843420,348428,For repair Metal Fish,55424664,returned
2,3,25405,606082,Ergonomic Rubber Salad,97780645,cancelled
3,4,412945,818019,Handcrafted Mouse,46562792,returned
4,5,271341,814054,Rustic Salad,12383416,pending
5,6,507759,724675,Fish,2498812,delivered
6,7,798565,664195,Fantastic Cheese,45495434,delivered
7,8,814027,664359,Gorgeous Granite Bike,5531411,cancelled
8,9,376668,184757,Fish,59538963,returned
9,10,131872,586102,Generic Pants,96755442,in transit
10,11,179095,117302,Chips,36691524,returned
11,12,645439,750304,Licensed Shirt,52013990,in transit
12,13,507435,429617,Fresh Sausages,9752895,in transit
13,14,295243,468958,Sleek Cotton Towels,77929856,cancelled
14,15,898755,869106,Gorgeous Shoes,31946508,returned
15,16,271341,402347,Rustic Salad,12383416,cancelled
16,17,507208,865649,Licensed Rubber Car,73581556,in transit
17,18,747979,368514,Granite Salad,4535808,returned
18,19,54535,355707,Keyboard,62153766,returned
19,20,87971,624346,Sleek Wooden Chicken,32474699,cancelled
20,21,822085,815760,Pizza,30020527,in transit
21,22,305646,682366,Fresh Chips,87681759,delivered
22,23,136091,326609,Pants,87294212,in transit
23,24,886558,936564,New Chair,57671443,delivered
24,25,973337,208019,Unbranded Gloves,43017050,returned
25,26,947673,912746,New Bike,63468280,delivered
26,27,733205,137404,Used Soft Sausages,99878455,returned
27,28,55098,338598,Gorgeous Frozen Pizza,48419264,pending
28,29,88404,703234,Ergonomic Shoes,42372157,returned
29,30,349099,407483,Handmade Concrete Computer,35409380,cancelled
30,31,591204,316328,Keyboard,38658275,cancelled
31,32,244730,686164,Used Steel Tuna,84159960,in transit
32,33,334755,320048,Mouse,29290215,returned
33,34,912366,235496,Soft Cheese,48699488,cancelled
34,35,861016,278707,Ergonomic Chicken,21509215,delivered
35,36,218010,451362,Handcrafted Rubber Shirt,49244755,returned
36,37,142876,703234,New Table,55239608,delivered
37,38,532538,652171,Sleek Bacon,93904821,pending
38,39,65103,122324,Granite Fish,7139766,pending
39,40,859037,816498,Incredible Chips,17136575,cancelled
40,41,543493,253595,Practical Frozen Bike,27742979,in transit
41,42,112142,419234,Intelligent Wooden Tuna,73943783,in transit
42,43,744752,231848,Handcrafted Metal Fish,46067587,delivered
